"","x"
"867","3825182"
"868","3825201"
"869","3825383"
"870","3825586"
"871","3826803"
"872","3828112"
"873","3830189"
"874","3831215"
"875","3831229"
"876","3831231"
"877","3831276"
"878","3835339"
"879","3835923"
"880","3838608"
"881","3839619"
"882","3842147"
"883","3842151"
"884","3842152"
"885","3842154"
"886","3842675"
"887","3843934"
"888","3844019"
"889","3844027"
"890","3844043"
"891","3847005"
"892","3850040"
"893","3851826"
"894","3852823"
"895","3853345"
"896","3855701"
"897","3859668"
"898","3861581"
"899","3862018"
"900","3863046"
"901","3864430"
"902","3864551"
"903","3866339"
"904","3866958"
"905","3867223"
"906","3867224"
"907","3867225"
"908","3867227"
"909","3867229"
"910","3867234"
"911","3867237"
"912","3867415"
"913","3871903"
"914","3872521"
"915","3873824"
"916","3874636"
"917","3874751"
"918","3875108"
"919","3875642"
"920","3875908"
"921","3878429"
"922","3880084"
"923","3881651"
"924","3882681"
"925","3884158"
"926","3884640"
"927","3886512"
"928","3887017"
"929","3888613"
"930","3888835"
"931","3889419"
"932","3889624"
"933","3890913"
"934","3892452"
"935","3894545"
"936","3896524"
"937","3896932"
"938","3901296"
"939","3902552"
"940","3903836"
"941","3907234"
"942","3907373"
"943","3915479"
"944","3917938"
"945","3919860"
"946","3920066"
"947","3921068"
"948","3923436"
"949","3923854"
"950","3928620"
"951","3929325"
"952","3929458"
"953","3933566"
"954","3934245"
"955","3934867"
"956","3936550"
"957","3942838"
"958","3943368"
"959","3944243"
"960","3945314"
"961","3947036"
"962","3947986"
"963","3948640"
"964","3949017"
"965","3952703"
"966","3954206"
"967","3955429"
"968","3956589"
"969","3956854"
"970","3957938"
"971","3958317"
"972","3958339"
"973","3959702"
"974","3959754"
"975","3959862"
"976","3965536"
"977","3968833"
"978","3972025"
"979","3976341"
"980","3976930"
"981","3980614"
"982","3982560"
"983","3986585"
"984","3988435"
"985","3988987"
"986","3989110"
"987","3991006"
"988","3992408"
"989","3994610"
"990","3995975"
"991","3996142"
"992","4000269"
"993","4002173"
"994","4007437"
"995","4011008"
"996","4012142"
"997","4012204"
"998","4013549"
"999","4013730"
"1000","4017245"
"1001","4018080"
"1002","4018454"
"1003","4021250"
"1004","4021469"
"1005","4022925"
"1006","4022970"
"1007","4025339"
"1008","4026487"
"1009","4027176"
"1010","4027708"
"1011","4035833"
"1012","4041923"
"1013","4045643"
"1014","4052962"
