"","x"
"1267","2725013"
"1268","2726072"
"1269","2726542"
"1270","2727587"
"1271","2727913"
"1272","2730194"
"1273","2730281"
"1274","2730531"
"1275","2730933"
"1276","2731257"
"1277","2731417"
"1278","2731636"
"1279","2731782"
"1280","2732391"
"1281","2732508"
"1282","2733287"
"1283","2733737"
"1284","2733767"
"1285","2734270"
"1286","2734992"
"1287","2735221"
"1288","2735598"
"1289","2736060"
"1290","2736224"
"1291","2736322"
"1292","2736462"
"1293","2736853"
"1294","2737069"
"1295","2737220"
"1296","2737257"
"1297","2737717"
"1298","2738314"
"1299","2738664"
"1300","2738697"
"1301","2738723"
"1302","2738919"
"1303","2738928"
"1304","2739308"
"1305","2739468"
"1306","2739714"
"1307","2740507"
"1308","2741236"
"1309","2742009"
"1310","2742134"
"1311","2742829"
"1312","2743315"
"1313","2745220"
"1314","2745499"
"1315","2745899"
"1316","2746119"
"1317","2746164"
"1318","2746507"
"1319","2746693"
"1320","2747454"
"1321","2747961"
"1322","2749380"
"1323","2749484"
"1324","2750198"
"1325","2750227"
"1326","2750476"
"1327","2750753"
"1328","2751385"
"1329","2751936"
"1330","2752725"
"1331","2753732"
"1332","2753994"
"1333","2754371"
"1334","2754538"
"1335","2754582"
"1336","2755897"
"1337","2756630"
"1338","2757540"
"1339","2758686"
"1340","2758870"
"1341","2759303"
"1342","2759393"
"1343","2759404"
"1344","2760371"
"1345","2761259"
"1346","2761321"
"1347","2763278"
"1348","2763550"
"1349","2763805"
"1350","2763912"
"1351","2764004"
"1352","2764054"
"1353","2764192"
"1354","2764478"
"1355","2765590"
"1356","2765865"
"1357","2766289"
"1358","2766419"
"1359","2766427"
"1360","2766429"
"1361","2766433"
"1362","2766437"
"1363","2768273"
"1364","2770242"
"1365","2770305"
"1366","2770469"
"1367","2771170"
"1368","2771342"
"1369","2771718"
"1370","2771812"
"1371","2771924"
"1372","2772414"
"1373","2772566"
"1374","2772614"
"1375","2772876"
"1376","2773348"
"1377","2773545"
"1378","2773655"
"1379","2774049"
"1380","2774365"
"1381","2774817"
"1382","2775259"
"1383","2775467"
"1384","2775475"
"1385","2775485"
"1386","2775487"
"1387","2775496"
"1388","2775500"
"1389","2775508"
"1390","2775512"
"1391","2775514"
"1392","2775520"
"1393","2775528"
"1394","2775544"
"1395","2775965"
"1396","2776026"
"1397","2776372"
"1398","2776670"
"1399","2776998"
