"","x"
"1561","2600881"
"1562","2601021"
"1563","2601230"
"1564","2601287"
"1565","2601414"
"1566","2601544"
"1567","2602110"
"1568","2602304"
"1569","2602368"
"1570","2602403"
"1571","2602770"
"1572","2602901"
"1573","2603320"
"1574","2603395"
"1575","2603787"
"1576","2603960"
"1577","2603987"
"1578","2604223"
"1579","2604254"
"1580","2604390"
"1581","2605321"
"1582","2605660"
"1583","2605939"
"1584","2606026"
"1585","2606348"
"1586","2606574"
"1587","2606634"
"1588","2606643"
"1589","2606859"
"1590","2607110"
"1591","2607262"
"1592","2607568"
"1593","2608469"
"1594","2608725"
"1595","2608765"
"1596","2609414"
"1597","2609608"
"1598","2609770"
"1599","2610136"
"1600","2610241"
"1601","2610317"
"1602","2610631"
"1603","2610972"
"1604","2611504"
"1605","2611779"
"1606","2612012"
"1607","2612175"
"1608","2612371"
"1609","2612625"
"1610","2613386"
"1611","2613880"
"1612","2614054"
"1613","2614120"
"1614","2614142"
"1615","2615600"
"1616","2616131"
"1617","2616166"
"1618","2616204"
"1619","2616317"
"1620","2616596"
"1621","2616804"
"1622","2617148"
"1623","2617276"
"1624","2617477"
"1625","2617630"
"1626","2617659"
"1627","2618665"
"1628","2618940"
"1629","2619120"
"1630","2619405"
"1631","2619480"
"1632","2619666"
"1633","2620114"
"1634","2620150"
"1635","2620212"
"1636","2620256"
"1637","2620348"
"1638","2620736"
"1639","2620773"
"1640","2620813"
"1641","2620842"
"1642","2620894"
"1643","2620937"
"1644","2621451"
"1645","2621570"
"1646","2621647"
"1647","2621881"
"1648","2621917"
"1649","2622026"
"1650","2622063"
"1651","2622095"
"1652","2622121"
"1653","2622153"
"1654","2622196"
"1655","2622435"
"1656","2622469"
"1657","2622590"
"1658","2622638"
"1659","2622970"
"1660","2623367"
"1661","2623426"
"1662","2623859"
"1663","2624110"
