"","x"
"764","3145955"
"765","2363784"
"766","3212348"
"767","3470340"
"768","3725922"
"769","2968432"
"770","2901769"
"771","3556198"
"772","3392890"
"773","2968279"
"774","3556116"
"775","3322077"
"776","3677197"
"777","3399398"
"778","2383777"
"779","3716664"
"780","3255507"
"781","3014671"
"782","3722316"
"783","3345107"
"784","2383880"
"785","3570050"
"786","2320071"
"787","3556308"
"788","2844250"
"789","2482932"
"790","2482933"
"791","3253443"
"792","3662236"
"793","4114579"
"794","3475038"
"795","2674317"
"796","3740648"
"797","2908474"
"798","2908505"
"799","3319313"
"800","3551689"
"801","3275404"
"802","3416492"
"803","3470422"
"804","3475030"
"805","2565269"
"806","2536402"
"807","3556094"
"808","2840752"
"809","3831302"
"810","2968399"
"811","3351767"
"812","3807488"
"813","3255513"
"814","3392880"
"815","2669979"
"816","3831178"
"817","2934274"
"818","3323824"
"819","3349660"
"820","3018484"
"821","3786868"
"822","2565935"
"823","2968401"
"824","3783565"
"825","3065740"
"826","2735027"
"827","3337042"
"828","2749380"
"829","3752271"
"830","3706659"
"831","2643217"
"832","3150579"
"833","3793827"
"834","2900940"
"835","4031692"
"836","2968349"
"837","3551851"
"838","3556202"
"839","2968377"
"840","2763154"
"841","3319323"
"842","3551855"
"843","4094247"
"844","4117552"
"845","3214800"
"846","3360401"
"847","4074842"
"848","2923661"
"849","3407583"
"850","2853426"
"851","3809690"
"852","2901712"
"853","3725856"
"854","3549757"
"855","3958347"
"856","3556110"
"857","3096512"
"858","2359439"
"859","3570115"
"860","3556148"
"861","3556158"
"862","2968436"
"863","2467205"
"864","3749734"
"865","3474545"
"866","2968434"
"867","2536332"
"868","2841308"
"869","3472090"
"870","3683651"
"871","3427853"
"872","3556232"
"873","3556274"
"874","2968363"
"875","3852783"
"876","3145955"
"877","2363784"
"878","3212348"
"879","3470340"
"880","3725922"
"881","2968432"
"882","2901769"
"883","3556198"
"884","3392890"
"885","2968279"
"886","3556116"
"887","3322077"
"888","3677197"
"889","3399398"
"890","2383777"
"891","3716664"
"892","3255507"
"893","3014671"
"894","3722316"
"895","3345107"
"896","2383880"
"897","3570050"
"898","2320071"
"899","3556308"
"900","2844250"
"901","2482932"
"902","2482933"
"903","3253443"
"904","3662236"
"905","4114579"
"906","3475038"
"907","2674317"
"908","3740648"
"909","2908474"
"910","2908505"
"911","3319313"
"912","3551689"
"913","3275404"
"914","3416492"
"915","3470422"
"916","3475030"
"917","2565269"
"918","2536402"
"919","3556094"
"920","2840752"
"921","3831302"
"922","2968399"
"923","3351767"
"924","3807488"
"925","3255513"
"926","3392880"
"927","2669979"
"928","3831178"
"929","2934274"
"930","3323824"
"931","3349660"
"932","3018484"
"933","3786868"
"934","2565935"
"935","2968401"
"936","3783565"
"937","3065740"
"938","2735027"
"939","3337042"
"940","2749380"
"941","3752271"
"942","3706659"
"943","2643217"
"944","3150579"
"945","3793827"
"946","2900940"
"947","4031692"
"948","2968349"
"949","3551851"
"950","3556202"
"951","2968377"
"952","2763154"
"953","3319323"
"954","3551855"
"955","4094247"
"956","4117552"
"957","3214800"
"958","3360401"
"959","4074842"
"960","2923661"
"961","3407583"
"962","2853426"
"963","3809690"
"964","2901712"
"965","3725856"
"966","3549757"
"967","3958347"
"968","3556110"
"969","3096512"
"970","2359439"
"971","3570115"
"972","3556148"
"973","3556158"
"974","2968436"
"975","2467205"
"976","3749734"
"977","3474545"
"978","2968434"
"979","2536332"
"980","2841308"
"981","3472090"
"982","3683651"
"983","3427853"
"984","3556232"
"985","3556274"
"986","2968363"
"987","3852783"
"988","3145955"
"989","2363784"
"990","3212348"
"991","3470340"
"992","3725922"
"993","2968432"
"994","2901769"
"995","3556198"
"996","3392890"
"997","2968279"
"998","3556116"
"999","3322077"
"1000","3677197"
"1001","3399398"
"1002","2383777"
"1003","3716664"
"1004","3255507"
"1005","3014671"
"1006","3722316"
"1007","3345107"
"1008","2383880"
