,AUC,CoxSnell,Nagelkerke,McFadden,Features
2567,75.74074074,0.268801629,0.286721738,0.11291631,2385696 3279089 3336422 diagnosis
4932,75.74074074,0.175440215,0.187136229,0.069575999,2531129 2601230 3843934 diagnosis
9583,75.72440087,0.151457299,0.161554453,0.059235208,2672467 3103062 3818376 diagnosis
8293,75.71350763,0.216262848,0.230680371,0.087889552,2601230 3104698 3632862 diagnosis
20702,75.71350763,0.175799817,0.187519805,0.069733328,3103062 3632862 3096512 diagnosis
17502,75.70261438,0.128724044,0.137305646,0.049699591,3017068 3103062 2968349 diagnosis
14253,75.69716776,0.154886688,0.165212467,0.060695826,2815331 3017068 3632862 diagnosis
18443,75.69716776,0.135989301,0.145055255,0.05271973,3048778 3103062 2674317 diagnosis
10738,75.68082789,0.120384354,0.128409978,0.046263707,2674432 3017068 2968349 diagnosis
8678,75.67538126,0.218140023,0.232682691,0.088754459,2601230 3500787 3632862 diagnosis
2994,75.66448802,0.152667245,0.162845062,0.059749864,2385696 3780271 3551851 diagnosis
2336,75.64270153,0.178809866,0.190730524,0.07105295,2385696 3048778 3780271 diagnosis
1823,75.6372549,0.218602205,0.233175686,0.088967728,2385696 2568968 2601230 diagnosis
3030,75.63180828,0.184217032,0.196498167,0.073435677,2385696 3808600 2536332 diagnosis
20707,75.61546841,0.167451454,0.178614884,0.066098424,3103062 3632862 2968434 diagnosis
5554,75.60457516,0.330015163,0.352016174,0.144449912,2531129 3157311 3336422 diagnosis
3958,75.59368192,0.250529573,0.267231544,0.104014135,2406361 3103062 3632862 diagnosis
8744,75.58823529,0.205516668,0.219217779,0.082977786,2601230 3632862 2674317 diagnosis
3018,75.54466231,0.185226397,0.197574824,0.073882214,2385696 3808600 3551851 diagnosis
18448,75.53921569,0.129759517,0.138410152,0.050128491,3048778 3103062 2968349 diagnosis
14387,75.50653595,0.135377138,0.144402281,0.052464278,2815331 3103062 3818376 diagnosis
5372,75.49019608,0.112001617,0.119468391,0.042842761,2531129 3048778 2968349 diagnosis
2610,75.47930283,0.181836006,0.193958406,0.072384511,2385696 3336422 3428268 diagnosis
8172,75.44662309,0.167354401,0.178511361,0.066056382,2601230 3048778 3818376 diagnosis
2925,75.43028322,0.268646076,0.286555814,0.112839589,2385696 3632862 2968436 diagnosis
3034,75.41394336,0.263997385,0.281597211,0.110554301,2385696 3818376 3475038 diagnosis
2335,75.40849673,0.220147822,0.234824343,0.089681852,2385696 3048778 3744589 diagnosis
20701,75.40849673,0.158429725,0.168991707,0.062211087,3103062 3632862 3556110 diagnosis
2960,75.40305011,0.213180885,0.227392944,0.086474022,2385696 3744589 3843934 diagnosis
20699,75.40305011,0.171810238,0.183264253,0.067991681,3103062 3632862 3407583 diagnosis
5631,75.39760349,0.224629232,0.239604514,0.091760437,2531129 3336422 3346453 diagnosis
6072,75.39760349,0.141425716,0.150854097,0.054996283,2531129 3818376 3096512 diagnosis
5406,75.39215686,0.169161707,0.180439154,0.066840096,2531129 3061438 3818376 diagnosis
20764,75.38126362,0.150504067,0.160537672,0.058830264,3103062 3780271 3818376 diagnosis
8827,75.37037037,0.133014127,0.141881736,0.051479902,2601230 3780271 2968349 diagnosis
2849,75.3540305,0.21292114,0.227115883,0.086354976,2385696 3500787 3818376 diagnosis
1922,75.3540305,0.195824078,0.208879016,0.078604238,2385696 2601230 3096512 diagnosis
2962,75.33769063,0.280313598,0.299001171,0.118639924,2385696 3744589 3475038 diagnosis
5133,75.32679739,0.175818512,0.187539746,0.069741509,2531129 2804221 3818376 diagnosis
2062,75.31590414,0.323212498,0.344759998,0.140806292,2385696 2773545 3475038 diagnosis
2072,75.29956427,0.230523881,0.24589214,0.094512886,2385696 2773545 3407583 diagnosis
2280,75.29956427,0.163282856,0.174168379,0.064297025,2385696 3017068 3336422 diagnosis
5269,75.28867102,0.263597809,0.281170996,0.110358544,2531129 3005266 3632862 diagnosis
4910,75.2832244,0.152682436,0.162861266,0.05975633,2531129 2601230 3048778 diagnosis
2108,75.27777778,0.195196141,0.208209217,0.078322718,2385696 2804221 3818376 diagnosis
4908,75.27233115,0.232173397,0.247651623,0.095286887,2531129 2601230 3005266 diagnosis
9578,75.27233115,0.18801972,0.200554368,0.075120851,2672467 3103062 3632862 diagnosis
1776,75.25599129,0.265231889,0.282914015,0.11115977,2385696 2531129 3005266 diagnosis
2165,75.25599129,0.159391375,0.170017467,0.062623459,2385696 2815331 2968349 diagnosis
3123,75.25599129,0.153769305,0.164020592,0.060219269,2385696 2674317 3551851 diagnosis
3140,75.25599129,0.139477507,0.148776007,0.054178798,2385696 3556094 2968349 diagnosis
18434,75.25054466,0.19789734,0.211090496,0.079535299,3048778 3103062 3632862 diagnosis
1769,75.24509804,0.192388753,0.20521467,0.077066773,2385696 2531129 2601230 diagnosis
2135,75.21786492,0.192554602,0.205391575,0.077140848,2385696 2815331 3048778 diagnosis
10782,75.21786492,0.141589092,0.151028365,0.055064921,2674432 3048778 2968349 diagnosis
4904,75.20697168,0.209644644,0.223620954,0.08485666,2531129 2601230 2773545 diagnosis
1931,75.16884532,0.257709276,0.274889895,0.107485939,2385696 2672467 2773545 diagnosis
